Title,Description,Priority,State,Labels,Estimate,Team,Assignee,Project,Milestone,Parent
"Data Schema Freeze","Define canonical symbols, intervals, adjustments, and corporate actions. ACCEPTANCE: Checksums and row-count parity across mirrored stores; Drift < 0.1% week-over-week; Schema documentation complete; Data dictionary published.",1,Backlog,validation|evidence,5,S-DNA,,,Phase 1,"M1: Data Integrity Lock"
"Feed Watchdogs Setup","Implement health checks for latency, gap detection, and source quorum. ACCEPTANCE: Alerts within 30s of missing bars; Auto backfill succeeds 3 consecutive runs; Monitoring dashboard live; Runbook for manual intervention.",1,Backlog,validation|automation,5,S-DNA,,,Phase 1,"M1: Data Integrity Lock"
"Baseline Models Implementation","Build momentum, mean-reversion, regime classifiers, naïve Bayes models. ACCEPTANCE: Reproducible runs with fixed seeds; Report ZIPs with plots and CSVs; Model cards documented; Performance metrics captured.",1,Backlog,validation|evidence,13,S-DNA,,,Phase 1,"M2: Benchmark Baselines"
"Blind Backtests Execution","Run time-sliced out-of-sample evaluations with embargo periods. ACCEPTANCE: No code access for validators; Results signed and timestamped; Audit trail stored in evidence locker; Independent verification documented.",1,Backlog,validation|gate|evidence,8,S-DNA,,,Phase 1,"M3: Blind Historical Tests"
"Accuracy Thresholds Definition","Define pre-set cutoffs for trend, reversal, anomaly detection. ACCEPTANCE: Thresholds met in 3 independent datasets; P-values documented; Statistical methodology reviewed; Confidence intervals stated.",1,Backlog,validation|gate,3,S-DNA,,,Phase 1,"M4: Accuracy Thresholds Met"
"Private Tester NDA Program","Onboard testers under NDA with secure portal and feedback capture. ACCEPTANCE: 10 testers onboarded; Feedback variance analyzed; No PII leakage verified; NDA signed and filed.",2,Backlog,validation|compliance,5,S-DNA,,,Phase 1,"M5: NDA Private Tester Program Ready"
"Data Integrity Automation Job","Nightly checksums, schema diffs, drift reports with auto-ticket on failure. ACCEPTANCE: Cron job scheduled and running; Tickets auto-created on failures; Retry logic implemented; Logs captured in observability platform.",2,Backlog,automation,5,S-DNA,,,Phase 1,"M1: Data Integrity Lock"
"Benchmark Pipeline Automation","Parameter grid runs, artifact bundling, hash-stamped reports linked to Linear. ACCEPTANCE: Pipeline triggers on schedule and on-demand; Artifacts uploaded to evidence locker; Linear issues updated with links; Regression alerts configured.",2,Backlog,automation,8,S-DNA,,,Phase 1,"M2: Benchmark Baselines"
"Backtest Orchestrator","Sliding windows, embargo logic, retries on transient errors, fail closed on regression. ACCEPTANCE: Embargo periods enforced; Transient errors retried (max 3 attempts); Metric regressions block progression; Human escalation on final failure.",2,Backlog,automation|gate,8,S-DNA,,,Phase 1,"M3: Blind Historical Tests"
"Evidence Locker Setup","Immutable storage for PDFs/CSVs/plots with Linear issue attachments and hash recording. ACCEPTANCE: Storage bucket configured; Hash recorded in issue comments; Retention policy set; Access audit logging enabled.",2,Backlog,evidence|automation,5,S-DNA,,,Phase 1,"M1: Data Integrity Lock"
"Gatekeeper Automation Rules","Status automation blocking Validated unless evidence and tests pass. ACCEPTANCE: Linear workflow rules configured; Manual override requires approval; Audit log for state transitions; Documentation complete.",2,Backlog,automation|gate,3,S-DNA,,,Phase 1,"M4: Accuracy Thresholds Met"
